word,chinese_meaning,phonetic,part_of_speech,english_meaning
comic,"n. 连环漫画, 喜剧演员, 滑稽的人\na. 滑稽的, 有趣的, 喜剧的",'kɒmik,,a. of or relating to or characteristic of comedy
command,"n. 命令, 指挥, 控制, 部队, 司令部\nv. 命令, 指挥, 控制\n[计] 命令; 指令; DOS外部命令:启动新的命令处理器",kә'mɑ:nd,,n. an authoritative direction or instruction to do something\nn. a military unit or region under the control of a single officer\nn. the power or authority to command\nn. availability for use
commemorate,vt. 纪念,kә'memәreit,,"v. mark by some ceremony or observation\nv. call to remembrance; keep alive the memory of someone or something, as in a ceremony\nv. be or provide a memorial to a person or an event"
commence,"v. (使)开始, 得学位",kә'mens,,"v take the first step or steps in carrying out an action\nv set in motion, cause to start\nv get off the ground"
commend,"vt. 嘉奖, 委托给, 推荐",kә'mend,,"v. express approval of\nv. present as worthy of regard, kindness, or confidence\nv. give to in charge\nv. express a good opinion of"
comment,"n. 注解, 批评, 评论, 备注\nvi. 评论, 注解\n[计] 备注",'kɒment,,n. a written explanation or criticism or illustration that is added to a book or other textual material\nv. make or write a comment on\nv. explain or interpret something
commerce,"n. 商业, 商务, 贸易\n[经] 商业, 贸易, 商务",'kɒmә:s,,"n. transactions (sales and purchases) having the objective of supplying commodities (goods and services)\nn. social exchange, especially of opinions, attitudes, etc."
commercial,"a. 商业的, 商用的, 商品化的\nn. 商业广告节目",kә'mә:ʃәl,,n. a commercially sponsored ad on radio or television\na. connected with or engaged in or sponsored by or used in commerce or commercial enterprises\na. of or relating to commercialism\ns. of the kind or quality used in commerce; average or inferior
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事\nvt. 委任, 委托制作, 使服役",kә'miʃәn,,n. a fee for services rendered based on a percentage of an amount received or collected or agreed to be paid (as distinguished from a salary)\nn. the act of granting authority to undertake certain functions\nn. the state of being in good working order and ready for operation\nn. a formal statement of a command or injunction to do something
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务\n[法] 犯, 做, 把...交托给",kә'mit,,v. cause to be admitted; of persons to an institution\nv. engage in or perform
committee,n. 委员会\n[经] 委员会,kә'miti,,n. a special group delegated to consider some matter\nn. a self-constituted organization to promote something
commodity,"n. 农产品, 商品, 有用的物品\n[经] 商品, 货物, 日用品",kә'mɒditi,,n. articles of commerce
common,"a. 通常的, 共同的, 通俗的, 公共的\n[计] 公用块",'kɒmәn,,a. belonging to or participated in by a community as a whole; public\na. having no special distinction or quality; widely known or commonly encountered; average or ordinary or usual\ns. common to or shared by two or more parties\ns. commonly encountered
commonplace,"n. 寻常事, 老生常谈, 普通的东西\na. 平凡的, 普通的",'kɒmәnpleis,,s. completely ordinary and unremarkable\ns. not challenging; dull and lacking excitement
commonwealth,n. 共和国；联邦；国民整体,'kɔmәnwelθ,,n. the official name of some states in the United States (Massachusetts and Pennsylvania and Virginia and Kentucky) and associated territories (Puerto Rico)\nn. a world organization of autonomous states that are united in allegiance to a central power but are not subordinate to it or to one another
communicate,"vt. 显露, 传达, 感染\nvi. 通讯",kә'mju:nikeit,,v. transmit information\nv. transmit thoughts or feelings\nv. join or connect\nv. be in verbal contact; interchange information or ideas
communication,"n. 交流, 交通, 通讯\n[计] 通信",kә.mju:ni'keiʃәn,,n. the activity of communicating; the activity of conveying information\nn. something that is communicated by or to or between people or groups\nn. a connection allowing access between persons or places
communism,n. 共产主义,'kɒmjunizm,,n. a form of socialism that abolishes private ownership\nn. a political theory favoring collectivism in a classless society
community,"n. 社区, 公众, 共有, 共同体\n[经] 公众, 共有, 社会",kә'mju:niti,,n. a group of people living in a particular local area\nn. common ownership\nn. a group of nations having common interests\nn. agreement as to goals
commute,"vt. 交换, 折偿, 减轻\nvi. 代偿, 经常乘车来往",kә'mju:t,,"n. a regular journey of some distance to and from your place of work\nv. exchange positions without a change in value\nv. travel back and forth regularly, as between one's place of work and home\nv. exchange a penalty for a less severe one"
compact,"a. 紧凑的, 紧密的, 简洁的\nvt. 使紧密结合, 压缩\nvi. 变坚实",kәm'pækt,,n. a small cosmetics case with a mirror; to be carried in a woman's purse\nn. a small and economical car\nv. have the property of being packable or of compacting easily\na. closely and firmly united or packed together
companion,"n. 朋友, 陪伴, 指南, 升降口围罩\nvt. 陪伴",kәm'pænjәn,,n. a friend who is frequently in the company of another\nn. a traveler who accompanies you\nn. one paid to accompany or assist or live with another
comparable,"a. 可比较的, 比得上的",'kɒmpәrәbl,,a. able to be compared or worthy of comparison\ns. conforming in every respect
comparative,"a. 比较的, 相对的\nn. 对手",kәm'pærәtiv,,n. the comparative form of an adjective or adverb\na. relating to or based on or involving comparison
compare,"vt. 比较, 比喻, 对照\nvi. 相比\nn. 比较\n[计] 比较",kәm'pєә,,"v. examine and note the similarities or differences of\nv. be comparable\nv. consider or describe as similar, equal, or analogous\nv. to form the comparative or superlative form on an adjective or adverb"
comparison,"n. 比较, 对照, 比喻\n[经] 比较, 对比",kәm'pærisn,,n. the act of examining resemblances\nn. relation based on similarities and differences\nn. qualities that are comparable
compartment,"n. 分隔间, 卧车包房, 防水舱隔\n[医] 隔室, 隔间",kәm'pɑ:tmәnt,,"n. a space into which an area is subdivided\nn. a partitioned section, chamber, or separate room within a larger enclosed area"
compass,"n. 指南针, 范围, 音域\nvt. 包围, 达到, 图谋, 理解",'kʌmpәs,,n. navigational instrument for finding directions\nn. the limit of capability\nn. drafting instrument used for drawing circles\nv. bring about; accomplish
compassion,"n. 同情, 怜悯",kәm'pæʃәn,,n. a deep awareness of and sympathy for another's suffering\nn. the humane quality of understanding the suffering of others and wanting to do something about it
compatible,"a. 能共处的, 可并立的, 适合的\n[计] 相容的; 兼容的",kәm'pætәbl,,a. able to exist and perform in harmonious or agreeable combination\na. capable of being used with or connected to other devices or components without modification\ns. capable of forming a homogeneous mixture that neither separates nor is altered by chemical interaction
compel,"vt. 强迫, 迫使",kәm'pel,,v. force somebody to do something\nv. necessitate or exact
compelling,"a. 强制的, 强迫性的, 激发兴趣的",kәm'peliŋ,,s. driving or forcing\ns. tending to persuade by forcefulness of argument
compensate,"v. 偿还, 补偿, 付报酬",'kɒmpenseit,,v. adjust for\nv. make amends for; pay compensation for\nv. make payment to; compensate
compensation,"n. 补偿, 赔偿金, 工资\n[医] 代偿(机能), 补偿",.kɒmpen'seiʃәn,,n. something (such as money) given or received as payment or reparation (as for a service or loss or injury)\nn. (psychiatry) a defense mechanism that conceals your undesirable shortcomings by exaggerating desirable behaviors
compete,"vi. 竞争, 对抗",kәm'pi:t,,v. compete for something; engage in a contest; measure oneself against others
competent,"a. 能干的, 胜任的, 有效的, 足够的\n[经] 有权的, 授权的, 胜任的",'kɒmpitәnt,,a. properly or sufficiently qualified or capable or efficient\ns. adequate for the purpose\na. legally qualified or sufficient
competition,"n. 竞争, 竞赛\n[经] 竞争, 竞销, 比赛",.kɒmpi'tiʃәn,,n. a business relation in which two parties compete to gain customers\nn. the act of competing as for profit or a prize
competitive,a. 竞争的\n[经] 竞争的,kәm'petitiv,,a. involving competition or competitiveness\ns. subscribing to capitalistic competition\ns. showing a fighting disposition
compile,"vt. 编译, 编辑, 编纂, 收集\n[计] 编译",kәm'pail,,v. use a computer program to translate source code written in a particular programming language into computer-readable machine code that can be executed
complain,"v. 抱怨, 抗议, 控诉",kәm'plein,,"v. express complaints, discontent, displeasure, or unhappiness\nv. make a formal accusation; bring a formal charge"
complaint,"n. 诉苦, 抱怨, 控诉\n[医] 陈诉; 病",kәm'pleint,,n. (formerly) a loud cry (or repeated cries) of pain or rage or sorrow\nn. an expression of grievance or resentment\nn. (civil law) the first pleading of the plaintiff setting out the facts on which the claim for relief is based
complement,"n. 补足物, 补语, 补数\nvt. 补充, 补足\n[计] 补码; 反相器; 补数",'kɒmplimәnt,,n. a word or phrase used to complete a grammatical construction\nn. a complete number or quantity\nn. number needed to make up a whole force\nn. something added to complete or embellish or make perfect
complete,"a. 完全的, 十足的, 完成的\nvt. 完成, 完工, 使圆满",kәm'pli:t,,"v. come or bring to a finish or an end; others finished in over 4 hours""\nv. bring to a whole, with all the necessary parts or elements\nv. complete a pass\nv. write all the required information onto a form"
complex,"n. 综合体, 情结, 络合物\na. 复杂的, 组合的",kәm'pleks,,n. a conceptual whole made up of complicated and related parts\nn. a compound described in terms of the central atom to which other atoms are bound or coordinated\nn. (psychoanalysis) a combination of emotions and impulses that have been rejected from awareness but still influence a person's behavior\na. complicated in structure; consisting of interconnected parts
compliance,"n. 遵从, 顺从, 屈从\n[化] 柔顺; 顺应",kәm'plaiәns,,n acting according to certain accepted standards\nn a disposition or tendency to yield to the will of others\nn the act of submitting; usually surrendering power to another
complicate,"vt. 弄复杂, 使错综, 使恶化\nvi. 变复杂",'kɒmplikeit,,"v. make more complicated\nv. make more complex, intricate, or richer"
complicated,a. 复杂的\n[医] 并发的,'kɒmplikeitid,,s. difficult to analyze or understand
complication,"n. 复杂化, 复杂情况\n[医] 并发症, 并发病",.kɒmpli'keiʃәn,,n. the act or process of complicating\nn. a situation or condition that is complex or confused\nn. any disease or disorder that occurs during the course of (or because of) another disease\nn. a development that complicates a situation
compliment,"n. 称赞, 恭维, 敬意\nvt. 称赞, 褒扬, 恭维",'kɒmplimәnt,,n. a remark (or act) expressing praise and admiration\nv. say something to someone that expresses praise\nv. express respect or esteem for
comply,"vi. 顺从, 依从\n[法] 遵守, 承诺, 照做",kәm'plai,,"v. act in accordance with someone's rules, commands, or wishes"
component,"n. 元件, 组件, 成分\na. 组成的, 构成的\n[计] 组件",kәm'pәunәnt,,n. an abstract part of something\nn. an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system
compose,"vt. 组成, 写作, 作曲, 使平静\nvi. 创作, 排字\n[计] 编写",kәm'pәuz,,"v. form the substance of\nv. write music\nv. put together out of existing material\nv. calm (someone, especially oneself); make quiet"
composite,"a. 合成的, 混合成的, 菊科的\nn. 合成物, 复合材料, 菊科",kәm'pɒzit,,"n. considered the most highly evolved dicotyledonous plants, characterized by florets arranged in dense heads that resemble single flowers\ns. consisting of separate interconnected parts\na. of or relating to or belonging to the plant family Compositae"
composition,"n. 作文, 创作, 组成\n[化] 成分; 组成",kɒmpә'ziʃәn,,n. the spatial property resulting from the arrangement of parts in relation to each other and to the whole\nn. a mixture of ingredients\nn. an essay (especially one written as an assignment)\nn. something that is created by arranging several things to form a unified whole
compound,"n. 混合物, 复合词, 化合物, 院子\na. 复合的, 混合的, 化合的\nvi. 化合, 和解, 妥协\nvt. 使复合, 使化合",kәm'paund,,n. a whole formed by a union of two or more elements or parts\nn. (chemistry) a substance formed by chemical union of two or more elements or ingredients in definite proportion by weight\nn. an enclosure of residences and other building (especially in the Orient)\nv. put or add together
comprehend,"vt. 理解, 包括",.kɒmpri'hend,,v get the meaning of something\nv to become aware of through the senses\nv include in scope; include as part of something broader; have as one's sphere or territory
comprehension,"n. 理解, 包含",.kɒmpri'henʃәn,,n. an ability to understand the meaning or importance of something (or the knowledge acquired as a result)
comprehensive,"a. 广泛的, 有理解力的, 综合的\n[经] 广泛的, 综合的, 全面的",.kɒmpri'hensiv,,a. including all or everything\ns. broad in scope
compress,"vt. 压缩, 压紧\nvi. 受压缩小\n[计] 压缩程序",kәm'pres,,n. a cloth pad or dressing (with or without medication) applied firmly to some part of the body (to relieve discomfort or reduce fever)\nv. make more compact by or as if by pressing\nv. squeeze or press together
comprise,"vt. 包含, 构成",kәm'praiz,,v be composed of\nv include or contain; have as a component\nv form or compose
compromise,"n. 妥协, 折中, 折中方案, 和解\nvi. 妥协处理\nvt. 危害",'kɒmprәmaiz,,"n. a middle way between two extremes\nn. an accommodation in which both sides make concessions\nv. make a compromise; arrive at a compromise; we all must compromise""\nv. settle by concession"
compulsory,"a. 被强制的, 强迫的, 义务的\n[经] 强迫的, 强制的",kәm'pʌlsәri,,s. required by rule
compute,"v. 计算, 估算\nn. 计算, 估算",kәm'pju:t,,v make a mathematical calculation or computation
comrade,"n. 同志, 伙伴",'kɒmreid,,n. a fellow member of the Communist Party
conceal,"vt. 隐藏, 掩盖, 隐瞒\n[法] 隐瞒, 隐匿, 保守秘密",kәn'si:l,,v. hold back; keep from being perceived by others
concede,"vt. 承认, 退让\nvi. 让步",kәn'si:d,,v. admit (to a wrongdoing)\nv. be willing to concede\nv. give over; surrender or relinquish to the physical control of another\nv. acknowledge defeat
conceive,"vt. 构思, 认为\nvi. 怀孕",kәn'si:v,,v. become pregnant; undergo conception
concentrate,"n. 浓缩, 精选\nv. 集中, 专心",'kɒnsәntreit,,"n. a concentrated form of a foodstuff; the bulk is reduced by removing water\nn. a concentrated example of something\nv. make denser, stronger, or purer\nv. direct one's attention on something"
concentration,"n. 集中, 专心\n[化] 浓度; 浓缩",.kɒnsәn'treiʃәn,,n. the strength of a solution; number of molecules of a substance in a given volume\nn. the spatial property of being crowded together\nn. strengthening the concentration (as of a solute in a mixture) by removing diluting material\nn. increase in density
concept,"n. 观念, 概念\n[医] 概念",'kɒnsept,,n. an abstract or general idea inferred or derived from specific instances
concern,"n. 关心, 忧虑\nvt. 与...有关, 使担心, 使挂念",kәn'sә:n,,n. something that interests you because it is important or affects you\nn. an anxious feeling\nn. a feeling of sympathy for someone or something\nn. something or someone that causes anxiety; a source of unhappiness
concerning,prep. 关于\n[法] 关于,kәn'sә:niŋ,,v be relevant to\nv be on the mind of
concert,"n. 音乐会, 和声, 一致\nvt. 协力, 协调\nvi. 协力\n[计] 美国北卡罗来纳州Internet网",'kɒnsәt,,n. a performance of music by players or singers not involving theatrical staging\nv. contrive (a plan) by mutual agreement\nv. settle by agreement
concession,"n. 特许, 让步, 认可\n[经] 核准, 许可, 特殊(权)",kәn'seʃәn,,n. a contract granting the right to operate a subsidiary business\nn. the act of conceding or yielding\nn. a point conceded or yielded
concise,"a. 简洁的, 简明的",kәn'sais,,a. expressing much in few words
conclude,"vt. 结束, 作结论, 推断\nvi. 结束, 推断",kәn'klu:d,,v. bring to a close\nv. reach a conclusion after a discussion or deliberation\nv. come to a close\nv. reach agreement on
conclusion,"n. 结论, 结尾, 推论\n[法] 缔结, 结论, 推论",kәn'klu:ʒәn,,n. an intuitive assumption\nn. the proposition arrived at by logical reasoning (such as the proposition that must follow from the major and minor premises of a syllogism)\nn. a final settlement\nn. the last section of a communication
conclusive,"a. 决定性的, 确定性的, 最后的\n[法] 决定性的, 不容置疑的, 确实的",kәn'klu:siv,,a. forming an end or termination; especially putting an end to doubt or question
concrete,"n. 凝结物, 混凝土\na. 具体的, 实在的, 混凝土的\nv. (使)凝结, 用混凝土浇筑",'kɒnkri:t,,n. a strong hard building material composed of sand and gravel and cement and water\nv. cover with cement\nv. form into a solid mass; coalesce\na. capable of being perceived by the senses; not abstract or imaginary
condemn,"vt. 判刑, 责备, 谴责\n[法] 定罪, 判刑, 宣告有罪",kәn'dem,,v. express strong disapproval of\nv. declare or judge unfit for use or habitation\nv. compel or force into a particular state or activity\nv. demonstrate the guilt of (someone)
condense,"vt. 使浓缩, 使压缩, 缩短\nvi. 浓缩, 凝结",kәn'dens,,v. undergo condensation; change from a gaseous to a liquid state and fall in drops\nv. remove water from\nv. cause a gas or vapor to change into a liquid\nv. become more compact or concentrated
condition,"n. 情况, 条件\nvt. 使健康, 以...为条件, 决定, 使适应\n[计] 条件",kәn'diʃәn,,n. a state at a particular time\nn. an assumption on which rests the validity or effect of something else\nn. a mode of being or form of existence of a person or thing\nn. the state of (good) health (especially in the phrases `in condition' or `in shape' or `out of condition' or `out of shape')
conduct,"n. 行为, 举动, 指导\nvt. 为人, 指挥, 管理, 实施\nvi. 领导, 传导, 指挥","'kɔndʌkt, -dәkt",,"v. direct the course of; manage or control\nv. lead, as in the performance of a composition; Barenboim conducted the Chicago symphony for years""\nv. lead musicians in the performance of"
conductor,"n. 领导者, 指挥者, 售票员, 向导\n[化] 导体",kәn'dʌktә,,"n. the person who leads a musical group\nn. a substance that readily conducts e.g. electricity and heat\nn. the person who collects fares on a public conveyance\nn. a device designed to transmit electricity, heat, etc."
confer,"vt. 授予, 带来\nvi. 协商",kәn'fә:,,v. have a conference in order to talk something over\nv. present
conference,"n. 会议\n[经] 会议, 讨论会, 协商会",'kɒnfәrәns,,n. a prearranged meeting for consultation or exchange of information or discussion (especially one with a formal agenda)\nn. a discussion among participants who have an agreed (serious) topic
confess,"v. 承认, 坦白, 忏悔, 供认",kәn'fes,,"v. confess to a punishable or reprehensible deed, usually under pressure\nv. confess to God in the presence of a priest, as in the Catholic faith"
confidence,n. 信心\n[电] 可靠,'kɒnfidәns,,n. a feeling of trust (in someone or something)\nn. a state of confident hopefulness that events will be favorable\nn. a trustful relationship\nn. a secret that is confided or entrusted to another
confident,"a. 有信心的, 有把握的",'kɒnfidәnt,,a. having or marked by confidence or assurance\ns. not liable to error in judgment or action
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的\n[经] 秘密件",.kɒnfi'denʃәl,,s. entrusted with private information and the confidence of another\ns. (of information) given in confidence or in secret\ns. denoting confidence or intimacy\ns. the level of official classification for documents next above restricted and below secret; available only to persons authorized to see documents so classified
confine,"vt. 限制, 使不外出, 禁闭\nvi. 邻接, 交界\nn. 边缘, 范围, 区域",kәn'fain,,v. prevent from leaving or from being removed\nv. deprive of freedom; take into confinement
confirm,"vt. 证实, 确定, 批准, 使巩固\n[计] 确认",kәn'fә:m,,v. establish or strengthen as with new evidence or facts\nv. strengthen or make more firm\nv. make more firm\nv. support a person for a position
conflict,"n. 战斗, 冲突, 矛盾, 争执\nvi. 争执, 战斗, 冲突, 抵触\n[计] 冲突",'kɒnflikt,,n. an open clash between two opposing groups (or individuals)\nn. opposition between two simultaneous but incompatible feelings\nn. a state of opposition between persons or ideas or interests\nn. an incompatibility of dates or events
conform,"vt. 使一致, 使遵守, 使符合\nvi. 一致, 符合, 适应",kәn'fɒ:m,,"v. be similar, be in line with"
conformity,"n. 遵照, 适合, 一致, 相似\n[计] 符合度",kәn'fɒ:miti,,n. correspondence in form or appearance\nn. acting according to certain accepted standards\nn. orthodoxy in thoughts and belief
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较\n[法] 对证, 使对质, 比较",kәn'frʌnt,,"v. oppose, as in hostility or a competition\nv. deal with (something unpleasant) head on\nv. present somebody with something, usually to accuse or criticize\nv. be face to face with"
confuse,"vt. 使混乱, 使狼狈, 使困惑\n[法] 混淆",kәn'fju:z,,"v. mistake one thing for another\nv. be confusing or perplexing to; cause to be unable to think clearly\nv. cause to feel embarrassment\nv. make unclear, indistinct, or blurred"
confusion,"n. 混乱, 混淆, 无秩序\n[计] 含混",kәn'fju:ʒәn,,n. disorder resulting from a failure to behave predictably\nn. a mental state characterized by a lack of clear and orderly thought and behavior\nn. a feeling of embarrassment that leaves you confused\nn. an act causing a disorderly combination of elements with identities lost and distinctions blended
congratulate,"vt. 祝贺, 庆贺",kәn'grætʃәleit,,v. express congratulations
congratulation,"n. 祝贺, 恭喜",kәn.grætʃә'leiʃәn,,n. the act of acknowledging that someone has an occasion for celebration\nn. (usually plural) an expression of pleasure at the success or good fortune of another
congress,"n. 国会, 会议, 讨论会\n[医] 会议, 会合",'kɒŋgres,,n. the legislature of the United States government\nn. a meeting of elected or appointed representatives\nn. a national legislative assembly
conjunction,"n. 连接词, 联合, 结合\n[计] 合取",kәn'dʒʌŋkʃәn,,n. an uninflected function word that serves to conjoin words or phrases or clauses or sentences\nn. the grammatical relation between linguistic units (words or phrases or clauses) that are connected by a conjunction\nn. (astronomy) apparent meeting or passing of two or more celestial bodies in the same degree of the zodiac
connect,"v. 连接, 联合, 联系",kә'nekt,,"v. connect, fasten, or put together two or more pieces\nv. be or become joined or united or linked\nv. join by means of communication equipment\nv. land on or hit solidly"
connection,"n. 连接, 关系, 前后关系\n[计] 连接",kә'nekʃәn,,n. a relation between things or events (as in the case of one causing the other or sharing features with it)\nn. the state of being connected\nn. an instrumentality that connects\nn. (usually plural) a person who is influential and to whom you are connected in some way (as by family or friendship)
connotation,"n. 含蓄, 内涵",.kɒnәu'teiʃәn,,n. an idea that is implied or suggested
conquer,"vt. 克服, 征服, 战胜\nvi. 得胜",'kɒŋkә,,v. overcome by conquest
conquest,"n. 战胜, 征服, 战利品\n[法] 征服, 赢得, 获得",'kɒŋkwest,,n. the act of conquering\nn. success in mastering something difficult
conscience,"n. 良心\n[法] 良心, 道德感, 正义感",'kɒnʃәns,,n. motivation deriving logically from ethical or moral principles that govern a person's thoughts and actions\nn. conformity to one's own sense of right conduct\nn. a feeling of shame when you do something immoral
conscientious,"a. 有责任心的, 负责的, 本着良心的\n[法] 凭良心做的, 有道德感的",.kɒnʃi'enʃәs,,s. characterized by extreme care and great effort\na. guided by or in accordance with conscience or sense of right and wrong
conscious,"a. 有意识的, 知觉的, 觉察的\n[医] 有意识的, 清醒的",'kɒnʃәs,,s. intentionally conceived\na. knowing and perceiving; having awareness of surroundings and sensations and thoughts\ns. (followed by `of') showing realization or recognition of something
consecutive,"a. 连续的, 联贯的\n[计] 连续的; 连接的",kәn'sekjutiv,,s. in regular succession without gaps\nr. in a consecutive manner
consensus,"n. 合意, 一致, 同感\n[计] 合意",kәn'sensәs,,n. agreement in the judgment or opinion reached by a group as a whole
consent,"n. 同意, 许可\nvi. 同意, 赞同",kәn'sent,,n. permission to do something
consequence,"n. 结果, 重要性\n[法] 结果, 后果, 推断",'kɒnsikwәns,,n. a phenomenon that follows and is caused by some previous phenomenon\nn. the outcome of an event especially as relative to an individual\nn. having important effects or influence
consequently,adv. 所以,'kɒnsikwәntli,,r. (sentence connectors) because of the reason given\nr. as a consequence
conservation,"n. 保护, 保存\n[医] 保存",.kɒnsә'veiʃәn,,n. an occurrence of improvement by virtue of preventing loss or injury or other change\nn. the preservation and careful management of the environment and of natural resources\nn. (physics) the maintenance of a certain quantities unchanged during chemical reactions or physical transformations
Conservative,"a. 保守的, 守旧的, 有保存力的\n[化] 防腐剂; 保存剂",kәn'sә:vәtiv,,n. a person who is reluctant to accept changes and new ideas\nn. a member of a Conservative Party\na. resistant to change\ns. having social or political views favoring conservatism
conserve,"n. 蜜饯, 果酱\nvt. 保存, 使(能量等)守恒",kәn'sә:v,,"n. fruit preserved by cooking with sugar\nv. keep constant through physical or chemical reactions or evolutionary change\nv. keep in safety and protect from harm, decay, loss, or destruction\nv. use cautiously and frugally"
consider,"v. 考虑, 思考, 认为",kәn'sidŋ,,"v. take into consideration for exemplifying purposes\nv. show consideration for; take into account\nv. think about carefully; weigh\nv. regard or treat with consideration, respect, and esteem"
considerable,"a. 相当的, 可观的, 重要的",kәn'sidәrәbl,,a. large or relatively large in number or amount or extent or degree
considerate,"a. 体贴的, 体谅的, 考虑周到的",kәn'sidәrit,,a. showing concern for the rights and feelings of others
consideration,"n. 考虑, 原因\n[法] 考虑, 思考, 报酬",kәn.sidә'reiʃәn,,n. the process of giving careful thought to something\nn. a discussion of a topic (as in a meeting)\nn. kind and considerate regard for others\nn. a considerate and thoughtful act
consist,"vi. 组成, 存在于, 一致",kәn'sist,,"v. have its essential character; be comprised or contained in; be embodied in\nv. be consistent in form, tenor, or character; be congruous\nv. be composed of"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的",kәn'sistәnt,,a. (sometimes followed by `with') in agreement or consistent or reliable\ns. the same throughout in structure or composition
console,"vt. 安慰, 藉慰\nn. 控制台\n[计] 控制台",kәn'sәul,,n. a scientific instrument consisting of displays and an input device that an operator can use to monitor and control a system (especially a computer system)\nn. an ornamental scroll-shaped bracket (especially one used to support a wall fixture)
consolidate,"vt. 巩固, 使联合, 统一\nvi. 巩固\n[计] 合并计算",kәn'sɒlideit,,v. unite into one\nv. make firm or secure; strengthen\nv. bring together into a single whole or system\nv. form into a solid mass or whole
conspicuous,"a. 显著的, 显眼的, 出众的",kәn'spikjuәs,,a. obvious to the eye or mind
conspiracy,"n. 同谋, 阴谋, 阴谋集团\n[法] 阴谋, 通谋, 共谋",kәn'spirәsi,,n. a secret agreement between two or more people to perform an unlawful act\nn. a plot to carry out some harmful or illegal act (especially a political plot)\nn. a group of conspirators banded together to achieve some harmful or illegal purpose
conspire,"vi. 阴谋, 协力, 共谋\nvt. 图谋",kәn'spaiә,,"v. engage in plotting or enter into a conspiracy, swear together\nv. act in unison or agreement and in secret towards a deceitful or illegal purpose"
constant,"n. 常数, 恒量\na. 不变的, 一定的, 时常的\n[计] 常量; 常数; 恒值",'kɒnstәnt,,n. a quantity that does not vary\nn. a number representing a quantity assumed to have a fixed value in a specified mathematical context\na. steadfast in purpose or devotion or affection
constituent,"n. 成分, 选民, 构成物\na. 构成的, 组织的, 选举的",kәn'stitjuәnt,,n. a member of a constituency; a citizen who is represented in a government by officials for whom he or she votes\nn. (grammar) a word or phrase or clause forming part of a larger grammatical construction\ns. constitutional in the structure of something (especially your physical makeup)
constitute,"vt. 构成, 组成, 任命\n[建] 构造, 组成",kәn'stitjut,,v. form or compose
constitution,"n. 构成, 宪法, 体格\n[医] 体质; 结构, 组织",.kɒnsti'tju:ʃәn,,n. the act of forming or establishing something\nn. the way in which someone or something is composed\nn. a United States 44-gun frigate that was one of the first three naval ships built by the United States; it won brilliant victories over British frigates during the War of 1812 and is without doubt the most famous ship in the history of the United States Navy; it has been rebuilt and is anchored in the Charlestown Navy Yard in Boston
constrain,"vt. 强迫, 限制, 关押",kәn'strein,,v hold back\nv restrict
construct,"vt. 构造, 建造, 对...进行构思, 作图\nn. 构成物",kәn'strʌkt,,"v. make by combining materials and parts\nv. draw with suitable instruments and under specified conditions\nv. create by linking linguistic units\nv. create by organizing and linking ideas, arguments, or concepts"
construction,"n. 建筑, 构造, 建筑物\n[化] 施工",kәn'strʌkʃәn,,n. the act of constructing something\nn. a group of words that form a constituent of a sentence and are considered as a single unit\nn. the creation of a construct; the process of combining ideas into a congruous object of thought\nn. drawing a figure satisfying certain conditions as part of solving a problem or proving a theorem
consult,"vi. 商讨, 商量, 协商, 会诊\nvt. 向...请教, 查阅, 考虑",kәn'sʌlt,,v. get or ask advice from\nv. seek information from\nv. advise professionally
consultant,"n. 顾问, 征询意见者\n[医] 顾问医师",kәn'sʌltәnt,,n an expert who gives advice
consume,"vt. 消耗, 消费, 消灭\nvi. 耗尽, 毁灭",kәn'sju:m,,"v. serve oneself to, or consume regularly\nv. spend extravagantly\nv. destroy completely\nv. use up (resources or materials)"
consumption,"n. 消费, 消费量, 痨病\n[化] 消耗量; 耗量",kәn'sʌmpʃәn,,n. the process of taking food into the body through the mouth (as by eating)\nn. (economics) the utilization of economic goods to satisfy needs or in manufacturing\nn. the act of consuming something
contact,"n. 联系, 交际, 熟人, 接触\nvi. 接触, 联系\nvt. 使接触",'kɒntækt,,n. close interaction\nn. the act of touching physically\nn. the state or condition of touching or of being in immediate proximity\nn. the physical coming together of two or more things
contain,"vt. 包含, 容纳, 控制\nvi. 自制",kәn'tein,,v. be divisible by\nv. be capable of holding or containing
container,"n. 容器, 集装箱\n[化] 集装箱; 贮存箱; 容器(任何一种)",kәn'teinә,,n. any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another)
contaminate,"vt. 弄污, 弄脏, 污染, 毒害\n[化] 污染",kәn'tæmineit,,v. make radioactive by adding radioactive material
contemplate,"vt. 注视, 沉思, 盘算\nvi. 冥思苦想",'kɒntempleit,,v. look at thoughtfully; observe deep in thought\nv. consider as a possibility
contemporary,"n. 同时代的人\na. 同时代的, 属于同一时期的",kәn'tempәrәri,,n. a person of nearly the same age as another\ns. characteristic of the present\ns. belonging to the present time
